xmin,ymin,xmax,ymax,text
158,204,341,237,ACCELIO
162,317,278,347,Sample
289,318,358,341,Data
370,317,426,341,File
857,323,972,352,Sample
984,322,1146,346,Bookmark
1156,323,1211,346,File
163,373,306,391,^reformat
328,375,407,391,trunc
863,378,1013,397,invoices]
163,405,323,425,^symbolset
344,405,489,421,WINLATIN1
163,435,258,453,^field
278,435,440,456,trans_date
858,410,984,427,Invoices
1006,410,1035,431,by
1056,410,1151,427,Date-0
856,441,1087,461,trans_date=1,A
162,466,306,485,2000-01-1
863,472,935,494,type
858,503,984,521,Invoices
1006,504,1036,524,by
1058,505,1121,521,Item
1140,503,1234,527,Type=0
856,534,1087,557,trans_type=1,A
163,498,259,517,^field
278,496,457,521,description
161,530,341,550,Description
363,530,407,547,for
429,530,492,546,item
512,529,539,548,#1
163,560,259,580,^field
278,562,440,584,trans_type
862,567,980,587,[amount]
858,598,984,614,Invoices
1006,598,1035,618,by
1057,598,1235,614,Transaction
1255,598,1384,614,Amount=0
162,593,239,609,TYPE1
163,624,259,643,^field
278,624,473,646,trans_amount
850,628,1053,651,trans_amount
1063,628,1117,651,-1,D
163,656,239,673,11.00
163,688,240,709,^page
263,688,272,704,1
163,718,258,736,^field
278,718,440,740,trans_date
162,751,306,768,2000-01-2
163,781,259,800,^field
278,780,457,804,description
161,814,341,835,Description
363,814,407,831,for
429,813,492,831,item
513,813,539,832,#2
163,843,259,863,^field
278,844,440,868,trans_type
162,877,239,893,TYPE2
163,907,259,925,^field
278,907,473,929,trans_amount
163,938,239,957,11.00
163,971,240,992,^page
263,971,272,987,1
163,1001,258,1018,^field
278,1002,440,1023,trans_date
162,1034,306,1050,2000-01-3
163,1064,259,1082,^field
278,1062,458,1088,description
161,1097,341,1118,Description
363,1097,407,1114,for
429,1097,492,1114,item
513,1096,539,1115,#3
163,1126,259,1146,^field
278,1127,440,1151,trans_type
162,1160,240,1177,TYPE3
161,1213,211,1234,The
222,1213,335,1240,example
347,1213,478,1234,bookmark
488,1213,525,1234,file
537,1213,645,1234,includes
657,1213,724,1234,three
735,1213,828,1234,distinct
839,1213,955,1234,sections:
213,1270,320,1291,Invoices
332,1270,420,1295,sorted,
434,1269,576,1298,ascending,
591,1270,620,1298,by
625,1268,685,1298,date
213,1327,320,1350,Invoices
332,1327,420,1352,sorted,
434,1326,576,1355,ascending,
591,1327,620,1355,by
631,1327,684,1348,item
686,1325,749,1357,type
213,1385,320,1406,Invoices
331,1385,420,1410,sorted,
433,1385,594,1413,descending,
608,1385,637,1413,by
647,1385,793,1406,transaction
805,1386,912,1406,amount.
162,2046,208,2064,PDF
219,2046,328,2065,Bookmark
338,2046,420,2070,Sample
1323,2047,1379,2069,Page
1387,2047,1399,2064,2
1408,2047,1429,2063,of
1436,2048,1448,2065,4
